,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JPM,V,UNH,JNJ,WMT,XOM,PG,MA,HD,CVX,MRK,ABBV,PEP
AAPL,0.09338822362930212,0.06461108560450624,0.060818750514409346,0.06320174078248895,0.09401496273281454,0.06959382548198015,0.0883004679394473,0.038419290671424855,0.047959855903180706,0.0356284363098317,0.021248910102648306,0.02257428877784945,0.02924648019141097,0.023347611853145905,0.05440994201583685,0.04457051628941186,0.034089600982564076,0.020748916529629662,0.024771497884753534,0.02833820055487761
MSFT,0.06461108560450624,0.08357089124543939,0.0666813011714814,0.06927431020249421,0.09946713499121457,0.07377734957675683,0.07972167910517763,0.037922618582952754,0.049454251859852756,0.03641257194784471,0.0214479425214561,0.023410628206386244,0.025066936781230044,0.024083310528859637,0.05580465307144347,0.04505609692962876,0.03350482928699554,0.022176190837352405,0.027138203187412415,0.028177752383841615
GOOGL,0.060818750514409346,0.0666813011714814,0.09497380378829194,0.06991137122107909,0.09420176744463575,0.08226743179042426,0.07536958975422604,0.03864780406349681,0.04693125962162953,0.031846872268013256,0.018385097171943306,0.019088632384737382,0.028146522249559148,0.019012484616440582,0.0529265771618678,0.03996296909810581,0.03435062881859843,0.0181383539643416,0.02565019835365929,0.02299109638797263
AMZN,0.06320174078248895,0.06927431020249421,0.06991137122107909,0.1185160244320243,0.10471061009258138,0.08782094822117296,0.090208136120493,0.03088417889294993,0.04261735446715833,0.02464629937852552,0.013845189729368419,0.022191579139627438,0.018529459290050974,0.015032416133309861,0.04998676398184836,0.04071596102847251,0.022705456531424816,0.013309558688540767,0.018691318340883764,0.01886707186760534
NVDA,0.09401496273281454,0.09946713499121457,0.09420176744463575,0.10471061009258138,0.2648122436752566,0.1138475252179647,0.14359544850365905,0.05369870911924851,0.06837579266570701,0.043081510831864754,0.017027015836214382,0.02787662458445479,0.03518041012651574,0.021972865144787523,0.077880165237682,0.06593830949131242,0.04597204952635235,0.0198303128819777,0.031585343529147554,0.02721302445819084
META,0.06959382548198015,0.07377734957675683,0.08226743179042426,0.08782094822117296,0.1138475252179647,0.18017902437532368,0.08578845255824796,0.03898946726212082,0.05029059071142508,0.026562525743798412,0.016191485467190823,0.01928686665317534,0.024185441348739848,0.01836161002521008,0.05903205782199128,0.0471893956953375,0.03119980018146149,0.01875607310694384,0.02181459732910033,0.0228609604953447
TSLA,0.0883004679394473,0.07972167910517763,0.07536958975422604,0.090208136120493,0.14359544850365905,0.08578845255824796,0.40323362090450765,0.052177842771032996,0.059796013083396576,0.03465758087348724,0.012101050301007166,0.022598379037828537,0.032871263424448,0.014478256274391069,0.06506972339906478,0.055234839468679964,0.04548284803974307,0.015116759415540528,0.0217595864821132,0.022883970127682018
JPM,0.038419290671424855,0.037922618582952754,0.03864780406349681,0.03088417889294993,0.05369870911924851,0.03898946726212082,0.052177842771032996,0.0872609351289403,0.04674211308948436,0.037268893117404854,0.022871924093869036,0.016523166413270614,0.05205164350223161,0.019923723051894746,0.05121323554141537,0.04088419189748307,0.05934541866391853,0.022464207151883256,0.028632152176777354,0.02425728539946133
V,0.047959855903180706,0.049454251859852756,0.04693125962162953,0.04261735446715833,0.06837579266570701,0.05029059071142508,0.059796013083396576,0.04674211308948436,0.06924352592311027,0.03615851256495914,0.021962842468124088,0.01718287189312725,0.03696447464440793,0.02220508265361256,0.0699308883869635,0.03980644011664105,0.042833553072530346,0.022620963854871636,0.02822652441399774,0.025490578527677558
UNH,0.0356284363098317,0.03641257194784471,0.031846872268013256,0.02464629937852552,0.043081510831864754,0.026562525743798412,0.03465758087348724,0.037268893117404854,0.03615851256495914,0.08092273406079546,0.026310369927533984,0.018703825723399143,0.031870177417017004,0.02355782213082737,0.03852529940904297,0.03543188287628949,0.040818847398227845,0.02614016447301225,0.03308229263120277,0.028580691486307166
JNJ,0.021248910102648306,0.0214479425214561,0.018385097171943306,0.013845189729368419,0.017027015836214382,0.016191485467190823,0.012101050301007166,0.022871924093869036,0.021962842468124088,0.026310369927533984,0.03843243239867308,0.016340395833987758,0.018678923438392236,0.021790761003159558,0.02311111269944745,0.021085892118303813,0.022506726640126512,0.0231431442409717,0.02370715580132822,0.023156072153655075
WMT,0.02257428877784945,0.023410628206386244,0.019088632384737382,0.022191579139627438,0.02787662458445479,0.01928686665317534,0.022598379037828537,0.016523166413270614,0.01718287189312725,0.018703825723399143,0.016340395833987758,0.04762742945842459,0.01387950254405025,0.021118925904303615,0.018776002184884375,0.023748502300408758,0.014571486992210576,0.014167554230905318,0.01557533278288974,0.022157322583974157
XOM,0.02924648019141097,0.025066936781230044,0.028146522249559148,0.018529459290050974,0.03518041012651574,0.024185441348739848,0.032871263424448,0.05205164350223161,0.03696447464440793,0.031870177417017004,0.018678923438392236,0.01387950254405025,0.09615466962597286,0.014370507815993425,0.04147815718502309,0.02914992392474057,0.08450189616015448,0.01984214081093552,0.025846231037399088,0.02079417507586171
PG,0.023347611853145905,0.024083310528859637,0.019012484616440582,0.015032416133309861,0.021972865144787523,0.01836161002521008,0.014478256274391069,0.019923723051894746,0.02220508265361256,0.02355782213082737,0.021790761003159558,0.021118925904303615,0.014370507815993425,0.04044360729807736,0.023752257805101054,0.024270946112845183,0.015393447613449254,0.019817915894839166,0.0190607838256468,0.029471339767873295
MA,0.05440994201583685,0.05580465307144347,0.0529265771618678,0.04998676398184836,0.077880165237682,0.05903205782199128,0.06506972339906478,0.05121323554141537,0.0699308883869635,0.03852529940904297,0.02311111269944745,0.018776002184884375,0.04147815718502309,0.023752257805101054,0.08626926192046457,0.04353149954332179,0.046359593065425406,0.023149988420472962,0.029680469376637243,0.027735203231628106
HD,0.04457051628941186,0.04505609692962876,0.03996296909810581,0.04071596102847251,0.06593830949131242,0.0471893956953375,0.055234839468679964,0.04088419189748307,0.03980644011664105,0.03543188287628949,0.021085892118303813,0.023748502300408758,0.02914992392474057,0.024270946112845183,0.04353149954332179,0.073005463580108,0.03775802692281118,0.019486189067016636,0.026587463254435638,0.029703585862361864
CVX,0.034089600982564076,0.03350482928699554,0.03435062881859843,0.022705456531424816,0.04597204952635235,0.03119980018146149,0.04548284803974307,0.05934541866391853,0.042833553072530346,0.040818847398227845,0.022506726640126512,0.014571486992210576,0.08450189616015448,0.015393447613449254,0.046359593065425406,0.03775802692281118,0.10507191148459312,0.024287925834738374,0.030583182339459006,0.02259210439982245
MRK,0.020748916529629662,0.022176190837352405,0.0181383539643416,0.013309558688540767,0.0198303128819777,0.01875607310694384,0.015116759415540528,0.022464207151883256,0.022620963854871636,0.02614016447301225,0.0231431442409717,0.014167554230905318,0.01984214081093552,0.019817915894839166,0.023149988420472962,0.019486189067016636,0.024287925834738374,0.0502680789920475,0.02622751826432699,0.01998254321253573
ABBV,0.024771497884753534,0.027138203187412415,0.02565019835365929,0.018691318340883764,0.031585343529147554,0.02181459732910033,0.0217595864821132,0.028632152176777354,0.02822652441399774,0.03308229263120277,0.02370715580132822,0.01557533278288974,0.025846231037399088,0.0190607838256468,0.029680469376637243,0.026587463254435638,0.030583182339459006,0.02622751826432699,0.07352819522336712,0.022115955142260325
PEP,0.02833820055487761,0.028177752383841615,0.02299109638797263,0.01886707186760534,0.02721302445819084,0.0228609604953447,0.022883970127682018,0.02425728539946133,0.025490578527677558,0.028580691486307166,0.023156072153655075,0.022157322583974157,0.02079417507586171,0.029471339767873295,0.027735203231628106,0.029703585862361864,0.02259210439982245,0.01998254321253573,0.022115955142260325,0.042460905911756844
